node_num,node_name,node_type,outgoing_weight,incoming_weight,total_weight
1741,SIK2,gene,0.0,0.0,0.0
1742,SIKE1,gene,0.0,0.0,0.0
1743,SIN3A,gene,4.78751967,0.0,4.78751967
1744,SIPA1,gene,0.0,0.0,0.0
1745,SIPA1L1,gene,0.0,0.0,0.0
1746,SIPA1L2,gene,0.0,0.0,0.0
1747,SIVA1,gene,0.9104770691999999,0.383072454,1.2935495231999998
1748,SKAP1,gene,0.0,0.0,0.0
1749,SKP1,gene,0.0,0.0,0.0
1750,SKP2,gene,0.0,0.0,0.0
1751,SLC25A31,gene,0.0,0.0,0.0
1752,SLC25A4,gene,0.0,0.0,0.0
1753,SLC27A1,gene,0.0,2.086393278,2.086393278
1754,SLC27A4,gene,0.0,1.613960938,1.613960938
1755,SLC2A1,gene,0.0,0.2148396914,0.2148396914
1756,SLC2A2,gene,0.0,3.388190796,3.388190796
1757,SLC2A4,gene,0.0,0.53033476334,0.53033476334
1758,SLC38A9,gene,0.0,0.0,0.0
1759,SLC3A2,gene,0.0,0.0,0.0
1760,SLC7A5,gene,0.0,0.0,0.0
1761,SLC8A1,gene,0.0,0.0,0.0
1762,SLC8A2,gene,0.0,0.0,0.0
1763,SLC8A3,gene,0.0,0.0,0.0
1764,SLC9A1,gene,0.0,0.6860433252,0.6860433252
1765,SMAD1,gene,0.0,0.295612722,0.295612722
1766,SMAD2,gene,0.7034596639999999,1.8024572739999998,2.5059169379999995
1767,SMAD3,gene,0.2034649167999999,1.3289165646,1.5323814813999999
1768,SMAD4,gene,0.0,0.0,0.0
1769,SMAD5,gene,0.0,0.5021999019999999,0.5021999019999999
1770,SMAD6,gene,0.2116648034,0.573353178,0.7850179814
1771,SMAD7,gene,0.6790760013999999,1.01946737,1.6985433714
1772,SMAD9,gene,0.0,0.2068247449999999,0.2068247449999999
1773,SMO,gene,0.0,0.0,0.0
1774,SMPD2,gene,0.0,0.0,0.0
1775,SMURF1,gene,0.0,0.0,0.0
1776,SMURF2,gene,0.0,0.0,0.0
1777,SNAI2,gene,0.0,0.0,0.0
1778,SNW1,gene,0.0,0.2311251127999999,0.2311251127999999
1779,SOCS1,gene,1.0668879420000001,1.6413200799999998,2.708208022
1780,SOCS2,gene,1.5816139895999999,2.1435513310000003,3.7251653206000004
1781,SOCS3,gene,2.3097909879999996,2.5595328096,4.8693237976
